Restaurant,Review,Rating,Label
Udipi's Upahar,delivered in time,5.0,2
Mohammedia Shawarma,Extra sauce we ordered and missed in package ,4.0,2
Behrouz Biryani,Always at its best service or taste yummmmmmmmmmmmmmmmmyyyy ,5.0,2
13 Dhaba,Great Food as always I have ordered multiple times with favs including Rajma Chawal Kadi Chawal Masala Raita Mostly received in bottle Aloo kulcha Bilkul Ghar jaisa taste with optimum spices and quantity Uploading some pics and will upload more,5.0,2
Sardarji's Chaats & More,Lods of Lods of Lods of Food Are you veg lover then it will be like paradise for you They server many varities of Kulcha Paratha Vada pav Sand wich Chats Loved Aloo kulcha and Dal makhani like hell Paratha and Vada pav are yummy We have Mixed Veg Paratha and the taste was good with many veggies in it Vada pav was considerable nothing can beat Mumbai s vada pav Had Lemon juice but didn t like that we have opted for this as there is no Lassi point in time Over all good food with good price ,4.0,2
Tandoori Food Works,Very less priced restaurant located in SLN terminus Ordered tangdi kebab and chicken tikka biriyani Tangdi kebab dint meet the expectations Bit oily and taste was ok but the mint chutney served with it was delicious Chicken tikka biriyani was good Chicken was tender soft and biriyani flavour was good Zomato gold is applicable here so it costed only 200 bucks for two Quite impressed with it Service was quick ,4.0,2
Club Rogue,Good place to enjoy the music with food and decent drinks It s a bit crowded but what s fun without the crowd D Been here many times never disappoints me except for the fact that they keep asking for my ID Place where you don t need a plus one in Hyderabad especially ,5.0,2
Al Saba Restaurant,very good service,5.0,2
Banana Leaf Multicuisine Restaurant,Worth spending the money on the Buffet here Eggetarians rarely we see egg items available in veg nonveg buffets that egg item left me happy here My rating Ambience 3 Taste 3 5 Hygiene 4 Varieties Buffet 5 Price 4,4.0,2
Cream Stone,good,5.0,2
The Indi Grill,Value for money Raza and Narendar were very helpful though they were busy serving rest but available when needed need improvement in service Thanks,5.0,2
Beyond Flavours,Sonalin has a great voice must visit the place once became fan of her The food is good 5 star from my side Live music lightening everything is just awesome ,5.0,2
Squeeze @ The Lime,Good food Except the gulabjamun everything was good a full pack brunch in the breakfast platter ,4.0,2
Behrouz Biryani,I never used to like biryani But after getting many reviews i ordered biryani It was so dam delicious fragnace was also amazing pavking was also too good Pepole who dont like biryani should try once They will fall in love with behrouz biryani,5.0,2
NorFest - The Dhaba,Norfest Northern food feat Serves well to it s name The large menu catering to all needs of group and individual combos Food suggestion Dal makkhani is a MUST Everything on the menu is great a treat for both vegetarians and non vegetarians Very soft and fresh food Great for deliveries order it at home or at work When looking for a yummmm North Indian food reach out to norfest ,4.0,2
Tandoori Food Works,good,5.0,2
Cream Stone,One busy place especially in the evenings Cream stone has created a special place for itself since beginning All the ice creams are tasty and the mix ins Wide range of ice creams cream blends home made waffle bowls and cones makes it unique My personal fav are alphonso Mango icecream death by chocolate and brownie break One good stop for ice cream lovers,4.0,2
Hyper Local,I went there two times both for lunch first time food was very tasty and service was great but second time there was a little rush which detoriated the quality of food and service both a little bit But overall nice place and a must visit,4.0,2
Prism Club & Kitchen,An evening well spent at Prism club and Kitchen The place is situated relatively outside the main city in Financial district and has a huge area to offer One can enjoy Poolside as well as at the sitting which is offered near the Dance floor With big live screens and a great DJ there is a lot of entertainment that you can expect out of the place Started my food experience with their Appetizers I tried out their Punjabi Paneer tikka Fish Finger Lehsooni Murgh tikka and Veg Burmese rolls The Punjabi Paneer tikka was good It had an exquisite flavor to it which was top notch Served along with Onion salad and traditional mint chutney one can give this dish a shot Next up their Fish fingers were quite normal for my palate They could improve the side dip and can use tartar dip as an option My favorite dish of the night was their Lehsooni Murgh tikka It had a really fantastic smoky flavor of garlic flakes to it and was super tender The spice mix was really complimenting the chicken and is a must try for you all Veg Burmese rolls was a big disappointment for me It had some extra oil to it which could have been clearly avoided They need to work on the filling as well as the outer crust of the rolls For their drinks I tried out their Cosmopolitan Margarita and Passion All the drinks were simply wonderful It was truly a great experience overall to have the right kind of drinks at this place For mains I had their Exotic vegetables in Black pepper sauce with Rice Farmer Chicken pizza Penne white sauce pasta Exotic vegetables in Black pepper sauce was good I usually don t like to have this at most outlets due to the overpowering taste of the Black pepper sauce but somehow these guys served it very well alongside some Rice Their Farmer Chicken pizza was too good Loved the overall consistency of the dish A slight work needs to be put up in their Pasta I didn t find it much cheesy and tasty The place setup is quite big and they certainly have a good potential to improve on their food Great place for partying for sure Happy eating ,4.0,2
Karachi Bakery,If you are in Hyderabad you must have visited and tasted it s biscuits cookies and desserts Now cookies and desserts cakes and pastries are great no doubt in that Coming to ice creams which they introduced recently well it was not good and one more thing is their packed snacks namkeen I think it s not up to the price Rest ambience and lighting is great Nice place to sit and hangout ,4.0,2
Biryanis And More,Visited this place for the first time Tried gongura mutton biryani and Tuglaq biryani Both the dishes tasted decent but they didn t justify the biryani tag line Tuglaq biryani tasted more of Pulav and it nowhere can stand near biryani The amount of meat given is not on par with the money you shed Ambience is decent and the staff are quite courteous ,4.0,2
Momos Delight,awesome,5.0,2
