Restaurant,Review,Rating,Label
The Indi Grill,Raza has treated us very well Good choice of menu options for the prices specified Good service done by Raza Wide range of menu options yo choose from Definitely must go place for food lovers ,5.0,2
The Glass Onion,Yesterday I was here with my two friends it was raining and weather was amazing The best fusion food I could ever eat It s a must go place guys I would rather say best place for romantic couples good view ambience of the restaurant good yummy yummy food and silent music The manager and people who were serving here are so polite and humble to suggest food and drinks I would like to visit again soon ,5.0,2
Momos Delight,I chose Veg Kurkure Momo s from this place after hearing lot of mouth reviews Momo s very perfectly fried and very crispy from out Filling was good Accompaniments of Mayo and Red chuney were sufficient and tasty ,4.0,2
Khaan Saab,The place is spacious ambience is pretty good It s a typical mughlai restaurant where you can find good north indian tase Coming to the food the variety in menu is too less The taste is good but as compared to price quantity is less ,4.0,2
13 Dhaba,Food was good,4.0,2
Udipi's Upahar,The best Coconut chutney and Sambhar in town Pick any food item and its delicious You can say that by the crowd at their place to get anything Must try Idli sambhar Poori Bhaji Butter pav bhaji ,4.0,2
Zing's Northeast Kitchen,My 1st visit to the place for lunch and i enjoyed their food We ordered lemongrass chicken it was nice but not strong lemon grass flavor though But the chicken stew with rice was awesome it was very light yet very flavor full I will surely visit this place again to try their Korean menu foodlove,4.0,2
"3B's - Buddies, Bar & Barbecue",Food is sooo yum Service is grt Met with shivam he was awesome with service in food and I enjoyed food in 3bs Mashroom was really good and pineapple was nice,5.0,2
Udipi's Upahar,good,5.0,2
Mustang Terrace Lounge,It s a good place with awesome ambience and a wide variety of dishes to choose from We booked a terrace lounge for our team out and have spent good time The staff are courteous and the service is faster than expected Would love to go again here Pros Ambience Food Alcohol Service ,4.0,2
Mustang Terrace Lounge,Been there on a Friday night and loved the ambience Place was not too much crowded Music and DJ was good and also the food This place is situated in a good location convenient for people working in Gachibowli We ordered LIIT and it was amazing Must visit ,5.0,2
Cream Stone,Very good concept and unique flavours My personal favourite is fruit exotica and tiramisu would certainly again and again just to have these two flavours Eagerly waiting for season special Alphonso ice cream ,4.0,2
Barbeque Nation,Great staff always ready to serve with smile celebrated our anniversary over there got exceptional service by Ravi Kumud and Chef Always take care of our spice level Love to visit again and again ,5.0,2
Hunger Maggi Point,Delivered before the time specifed,5.0,2
KFC,Took my friends brother for an early lunch meal on Sunday Restaurant was pretty empty and we had a pretty good meal Service was fabulous the kid spilled his drink and they offered another one ,4.0,2
Over The Moon Brew Company,This is one of the classier places to party in Hyderabad They have great music usually on Fridays and Saturdays when the party fever is high On Sundays though it s a bit mild relatively The food is good and drinks are even better Go there to have a good time with friends ,4.0,2
Shah Ghouse Spl Shawarma,The best shawarma you can have is here The quantity and the quantity both are awesome One shawarma is enough in terms of dinner or lunch I always prefer to have from this place,4.0,2
Banana Leaf Multicuisine Restaurant,The food quality in a la carte was kinda so so Kind of an average Budget restaurant The staff manner was very good Food quantity was good,4.0,2
The Chocolate Room,They offer a lot of varied products especially variants of Chocolate flavoured food Check out their shakes pancakes waffles pasta and lot more The ambience and service is great and makes you feel like spend more time ,4.0,2
Delhi-39,Yesterday I went with my friend for lunch first i thought this place is a not good Then my friend told me to test the food then say and believe me friends the food was too good We had D 39 Special paneer lababdar Spicy With butter pulka and mix fried rice with mix raita That all was pretty good And i specially like Special paneer lababdar Thanks team Delhi 39 for such a nice food ,4.0,2
Deli 9 Bistro,This is the best place to have a casual outing with colleagues during office hours Food tastes great Menu is very well defined and have good amount of combos My favorite is punjabi puttar combo with lachcha parantha do try that of you go here ,5.0,2
Shah Ghouse Spl Shawarma,quick delivery,5.0,2
The Glass Onion,Ambience is great so is the food Service is very fast Serving people are very polite and are easily approachable Food taste is great Their location in Zomato is showing incorrect It would be good if there are some directions put up on the road it was not easy to find through the map I would definitely visit again ,4.0,2
"3B's - Buddies, Bar & Barbecue",Overall experience was very goood Services offered by Shivam is excellent worth for the money and best place to spend time with buddies great food and great time ,5.0,2
Royal Spicy Restaurant,good,5.0,2
Shree Santosh Dhaba Family Restaurant,Good,4.0,2
Hyderabad Chefs,speciality restaurant offers signature Hyderabadi delights and north west frontiers dishes that make it an unforgettable dinning experience For over decades now this place has been serving food belonging to all the various places in the city With the richness in the dishes and the care with which they make it s an unusual experience,5.0,2
KFC,good,4.0,2
Olive Garden,Ordered veg thali for mother she enjoyed it but the quantity for bit low quality was good price also bit high will order once again some other dishes too,4.0,2
Paradise,Menu is good service is also good taste is good Biryani is good all items are good birya is having nice flavour staturs or good and lime shoda is good ,5.0,2
The Old Madras Baking Company,Undoubtedly one of the best bakeries in hyd I tried the Banana Cake Carrot Cake Choco Chips Cake Chocolate Muffin Love all of them The cakes are always baked properly Recommending this place for pound cake lovers ,5.0,2
Chinese Pavilion,Very fast service and the food is delicious Everyone must try the restaurant s food really loved the food Very tasty authentic Chinese dishes ,5.0,2
Owm Nom Nom,Ordered chicken fried piece biryani with an advice of my colleague after eating I am suggesting the same to my friends and colleagues to eat and order at own nom nom ,4.0,2
Triptify,packaging was excellent paratha could have been less oily taste was good ,4.0,2
"3B's - Buddies, Bar & Barbecue",Excellent food and excellent service vby bahadur ijajual and surjet we are very happy there service valso again visit soon love abs ,5.0,2
Labonel,Its a very expensive bakery not like other bakery they dont sell brownies and cupcakes in pieces they sell box of cupcakes and brownies The brownies are amazing very tasty they are soft and smooth Love it ,4.0,2
Tempteys,Sunday afternoon we visited this place with the bunch of foodies to experience their new menu which has been added recently Small outlet with around 15 people can be accommodated at a time Coming to the delicacy Classic shakes Poppy cherry and merry cherry were the two shakes which have tried Poppy cherry was just like butter popcorn shake was decent Merry cherry was simply outstanding and loved it Premium shakes Cruncy blue berry Caramel brownie were my favorites These are the must tried shakes at this place Exclusive shake Coffee hazlenut and cookie feast were delicious too Cheesecake was decent nothing that great Crushers Orange bright Poppy corn mint cucumber are some of the crushers which we tried but all were ok Fries Peri Peri Fries and Cajun spice fries were really outstanding and loved it Potato wedges this one was decent with Jamaican dips Overall there new menu is quite a hit and have some amazing exclusive and premium shake which is not too heavy on the pocket and tasty at the same time As we were invited here by management for the new menu session but will visit again for sure in future to taste other shakes and delicacies Must try dish Merry cherry Caramel brownie Cookie feast Peri Peri fries,4.0,2
Green Bawarchi Restaurant,excellent,5.0,2
Arena Eleven,Best place to chill out with few beers Went out on a sunday nyt here with my friends and it was just fun Inside outside sitting both are great Food is also good I go here now whenever i just want to chill ,5.0,2
"3B's - Buddies, Bar & Barbecue",Good service by Govind and feeling happy for the food and the management Food was awesome and expect others to come and feel the comforts one thing to add about the cleaness and everything ,5.0,2
The Old Madras Baking Company,One definitely have to try their coconut bun and cream cheese bagels Bread loafs are so fresh here and we can get variety of cheese Super place to hangout ,5.0,2
Absolute Sizzlers,Great place Awesome ambience and food staff is good and seafood delight is a must try also sizzling chicken come for budget lunch with your girlfriend ,5.0,2
B-Dubs,Wonderful place to chill out with buddies and can have fun part with PS4 gaming Food is really awesome and they have different sauces blazing is really hot should give a try Sunny was with us to entertain and giving good experience of bdubs,5.0,2
Kritunga Restaurant, ,5.0,2
Tiki Shack,We celebrated the a friends Bday and it was good The DJ was average at that time which was a little mood killing But the food and drinks are good The Bday boy almost passed out as we gifted him the helmet pop After which I dont think he remembers the next 24 hours ,4.0,2
Shree Santosh Dhaba Family Restaurant,good,5.0,2
Deli 9 Bistro,Must Try Beef Grilled tender loin steak and veg stroganoff it s just simply awesome One should come here for food in low budget but awesome quality ,5.0,2
Faasos,very nice service,5.0,2
Pista House,Yesterday we had a dinner at this place the food was good much taste we ordered kebab Chicken biryani and thum up the service was late but good we enjoyed,4.0,2
The Fisherman's Wharf,Every time I we visit this place it never fails to amaze with lipsmacking food A 5 service with 5 food taste Keep spreading love and warmth through your kitchen to our stomachs ,5.0,2
Olive Garden,Good lunch and buffet menu Loved this place Had been here a few times with my team for linch buffets So here goes my review Food 4 5 Ambience 3 5 Service 4 5 Budget 3 5,4.0,2
PourHouse7,At Gachibowli we have a new rooftop dining place which captures the astonishing view of Hyderabad s new side overlooking the mighty IKEA We dined at Pourhouse7 where they house a club too at the floor below the rooftop It was drop dead gorgeous view from there and the weather was cold with chill winds so we had to put our jackets back on But on a regular evening the place would be warm They have been serving us some nice cocktails and some punchy mocktails like chatpata masala The starters were not that great and needs much improvement They had chicken manchow soup and coriander soup which were really bleak and the place won t be expecting much orders on them as it s a bar The Hyderabadi Tawa Fish was exceptionally great and turned out to be my favourite of the night In the vegetarian department I ll recommend Tandoori Broccoli Further to the main course the Tangadi kebab was perfectly cooked juicy chicken legs The masalas of Cashew nut chicken and chicken tikka were soo tasty They were an amazing combination with the rotis The place has improve a lot on a handful of starters and rest will be taken care of Food 3 5 Ambience 4 5 5 Service 3 5 Value for money 3 5,4.0,2
